Concentration name,description,program website url,Accreditation status,Program name,Program Page url,Level,error,level
,"The Bachelor of Arts (B.A.) in Music Education is a professional degree that provides students with the musical knowledge, pedagogical skills, and teaching experience necessary for a career in music education. The Music Education major prepares students for careers as music teachers in public and private schools (K-12). It provides the broad background in music theory, history, and performance required for all music majors, and adds a comprehensive program of study in music education. Students in the program develop the skills, knowledge, and perspectives necessary for effective teaching in a variety of musical settings. They complete coursework in the philosophy and history of music education, child and adolescent development, instructional technology, and teaching methods for diverse learners. In addition, students gain practical experience through supervised field observations and student teaching in local schools. Graduates of the program are eligible to apply for the California Preliminary Single Subject Teaching Credential in Music, which is required for teaching music in California public schools.",https://schoolofmusic.ucla.edu/academics/music/music-education-ba/,,Bachelor of Arts in Music Education,https://schoolofmusic.ucla.edu/academics/music/music-education-ba/,BA,,
,"The Music History and Industry major provides a unique curriculum that combines a traditional musicology foundation with music industry coursework and professional development. It is intended for students who want to study music as a global phenomenon, explore music’s roles in past and present societies, and develop an understanding of the contemporary music industry. Students complete a sequence of core courses in musicology and music industry, along with elective courses that allow them to focus on areas such as film music, popular music, global music, music business, and music technology. All students complete a music industry internship as part of the degree. The BA degree in Music History and Industry is an ideal choice for students who want to pursue a wide variety of careers in the music industry or go on to graduate study in musicology or related fields.",https://schoolofmusic.ucla.edu/academics/music-history-industry/,The UCLA Herb Alpert School of Music is an accredited institutional member of the National Association of Schools of Music (NASM).,Bachelor of Arts in Music History and Industry,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Bachelor of Music in Music Performance program is designed for students who wish to pursue a career as a professional musician. This professional degree offers students the opportunity to specialize in one of several areas of study, including strings, woodwinds, brass, percussion, piano, and voice. Students receive private instruction from our world-renowned faculty and participate in a wide variety of ensembles, from large orchestras to small chamber groups. The curriculum is designed to provide students with a high level of technical training and musical knowledge, preparing them for careers as professional performers, teachers, and scholars.",https://schoolofmusic.ucla.edu/degree/music-performance-b-m/,The UCLA Herb Alpert School of Music is an accredited institutional member of the National Association of Schools of Music (NASM).,Bachelor of Music in Music Performance,https://music.apple.com/us/artist/bm/1457842098,,,
,"The Musicology major provides a foundation for students who want to study music and its historical, social, and cultural contexts. The curriculum covers a wide range of musical styles, including Western art music, jazz, popular music, and world music. Students develop critical thinking, writing, and research skills through courses in music history, theory, and analysis. The Musicology major is designed for students who want to explore music as a humanistic discipline and prepares them for a variety of careers in music, education, media, and the arts, as well as for graduate study in musicology or related fields.",https://schoolofmusic.ucla.edu/programs/musicology-ba/,The UCLA Herb Alpert School of Music is an accredited institutional member of the National Association of Schools of Music (NASM).,Bachelor of Arts in Musicology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Neuroscience major is a multi-disciplinary program that provides a broad background in the biological and physical sciences and a focused understanding of the nervous system. The curriculum includes a core of courses in biology, chemistry, and physics, followed by specialized courses in neuroanatomy, neurophysiology, and neurochemistry.",https://www.neurosci.ucla.edu/undergraduate/major/,,Bachelor of Science in Neuroscience,https://www.neurosci.ucla.edu/wp-content/uploads/sites/9/2021/03/Updated-NS-Minor-Sheet-3.21.pdf,,,
,"The Nordic Studies Major provides students with the opportunity to explore the cultures and languages of the Nordic region, including Denmark, Finland, Iceland, Norway, and Sweden. Students gain proficiency in one of the three mainland Scandinavian languages (Danish, Norwegian, or Swedish) and explore Nordic literature, film, history, and society from a variety of perspectives.",https://elts.ucla.edu/undergraduate/nordic-studies-major/,,Bachelor of Arts in Nordic Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The UCLA School of Nursing has a prelicensure program leading to the Bachelor of Science degree. The BS program is designed to prepare students for a career in nursing. The curriculum is designed to provide a strong foundation in the biological and social sciences, as well as the humanities, and to provide the clinical skills and knowledge necessary for entry-level nursing practice. Graduates of the program are eligible to take the National Council Licensure Examination (NCLEX) for registered nurses.",https://www.nursing.ucla.edu/admissions/degree-programs/bachelor-science,"The baccalaureate degree program in nursing at the University of California, Los Angeles School of Nursing is accredited by the Commission on Collegiate Nursing Education (CCNE) and approved by the California Board of Registered Nursing (BRN).",Bachelor of Science in Nursing - Prelicensure,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"Philosophy is the critical examination of the most fundamental concepts and assumptions of every area of human experience. It is the study of the nature of reality, knowledge, and value. The department offers a broad curriculum that covers the history of philosophy as well as contemporary work in ethics, political philosophy, metaphysics, epistemology, philosophy of language, philosophy of mind, and logic. The Philosophy major is designed to provide students with an understanding of the history of philosophy and the basic problems of the field and to develop their skills in critical thinking, logical analysis, and clear and effective writing.",https://philosophy.ucla.edu/undergraduate/majors-minors/philosophy-major/,,Bachelor of Arts in Philosophy,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Physics BA degree is designed for students who want a physics background but do not plan to do graduate work in physics. It is especially appropriate for those who want to use their physics knowledge as a base for another career, such as medicine, law, or business.",https://registrar.ucla.edu/academics/curricula-and-courses/physics-ba,,Bachelor of Arts in Physics,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFs4syF2Uvvc_l-5WrnBYanlfZKbadTuabrwAj1dZQ0oJz9GtOifQOmcXJvApZToNOFgOpdACRdbN_4NW7V5lHrpuYXCGLtwOwbONwtf7Xm3PUG-WYqFhYXTXzK2X_ahNzJQZ0q4CSCCgtnWouafPw=,,,
,"The Physics major is designed to provide a solid foundation in the principles of physics and its applications. It is intended to prepare students for graduate study in physics or related fields, or for professional careers in industry, government, or education. The curriculum includes courses in classical mechanics, electromagnetism, quantum mechanics, thermodynamics, and statistical mechanics, as well as laboratory courses and electives in specialized areas.",https://catalog.registrar.ucla.edu/ucla-catalog24-25/departments-and-programs/physics-and-astronomy/physics-bs/,,Bachelor of Science in Physics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Physiological Science major provides a broad background in biology and the physical sciences, while emphasizing the physiology of organisms and organelles. The curriculum is designed to prepare students for graduate studies in physiology or other biological sciences and for professional training in medicine, dentistry, physical therapy, and other health-oriented fields.",https://catalog.registrar.ucla.edu/major/2024/PhysiologicalScienceBS,,Bachelor of Science in Physiological Science,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
"American Politics, Comparative Politics, International Relations, Political Theory, Methods and Models, Race, Ethnicity, and Politics","Political science is the study of politics and power from domestic, international, and comparative perspectives. It entails understanding political ideas, ideologies, institutions, policies, processes, and behavior, as well as groups, classes, government, diplomacy, law, strategy, and war. A political science education provides students with valuable diagnostic and analytical tools. Whether they are interested in the figure of the citizen, the nature of the state, or the causes of war, political science students are able to analyze the dynamics of power and influence. The Political Science Department offers a broad range of courses on the study of politics and government. The curriculum is divided into six fields: political theory, international relations, comparative politics, American politics, methods and models, and race, ethnicity, and politics.",https://polisci.ucla.edu/academics/undergraduate/,,Bachelor of Arts in Political Science,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Portuguese and Brazilian Studies major is a multi-disciplinary program that provides students with a solid foundation in the language, literature, and culture of the Portuguese-speaking world. Students will develop proficiency in the Portuguese language and gain a broad understanding of the history, society, and artistic expressions of Portugal, Brazil, and Lusophone Africa.",https://www.spanish.ucla.edu/undergraduate/majors/portuguese-and-brazilian-studies-ba/,,Bachelor of Arts in Portuguese and Brazilian Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The psychobiology major is designed for students who plan to go on to postgraduate work in physiological psychology, neuroscience, psychopharmacology, or clinical psychology, or to medical school. The program provides a broad background in biology and chemistry and provides the opportunity to study the physiological basis of behavior of both humans and animals.",https://psych.ucla.edu/undergraduate/academic-programs/psychobiology-major/,,Bachelor of Science in Psychobiology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",BS,,
,"The Psychology major is the most general of the three majors and offers a broad background in psychology. This major is designed for students who are interested in a variety of fields within psychology or who are planning to go into fields such as law, business, or education.",https://www.psych.ucla.edu/undergraduate/majors-minors/psychology-major-b-a/,,Bachelor of Arts in Psychology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,BA
,"The Public Affairs major is an interdisciplinary program that prepares students to understand and address complex societal problems through a lens of social justice and equity. Drawing on the disciplines of public policy, social welfare, and urban planning, the major provides students with a strong foundation in social science theory and research methods, combined with practical experience through a senior capstone project. Students develop skills in analytical social science, including research design and data analysis, and learn how to apply these tools to address issues such as poverty, inequality, and environmental sustainability. A hallmark of the program is the year-long senior experiential learning project where students work in teams to apply their knowledge and skills to a real-world challenge in partnership with a community organization or government agency in the Los Angeles region.",https://luskin.ucla.edu/undergraduate-program,,Bachelor of Arts in Public Affairs,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"Public health is a multidisciplinary field that focuses on the protection and improvement of health at the community and population levels. The Bachelor of Arts in Public Health (BAPH) provides students with a foundational understanding of public health principles and practices, emphasizing the social, behavioral, and environmental factors that influence health. The curriculum is designed to prepare students for diverse careers in public health or for further graduate study in the field. Students in the BAPH program will develop skills in critical thinking, problem-solving, and communication, and will gain a deep understanding of the historical, social, and political contexts of public health. The program also offers opportunities for hands-on experience through internships and research projects, allowing students to apply their knowledge in real-world settings. With its focus on health equity and social justice, the BAPH program at UCLA Fielding is dedicated to preparing the next generation of public health leaders who will work towards creating a healthier and more just world.",https://ph.ucla.edu/degree-programs/undergraduate-programs/ba-public-health,The UCLA Fielding School of Public Health is accredited by the Council on Education for Public Health (CEPH).,Bachelor of Arts in Public Health,https://ph.ucla.edu/degree-programs/undergraduate-programs/ba-public-health,,,
,"The Bachelor of Science in Public Health (BSPH) is designed to provide undergraduate students with a solid foundation in the field of public health. The curriculum is built around the five core disciplines of public health: Biostatistics, Community Health Sciences, Environmental Health Sciences, Epidemiology, and Health Policy and Management. Through a combination of core courses, electives, and a capstone experience, students will develop the skills and knowledge necessary to address complex public health challenges, promote health equity, and improve the health of populations. The program aims to prepare students for careers in public health practice, research, and policy, as well as for further study in public health and other health-related fields.",https://phup.healthsciences.ucla.edu/programs/bsph/,The UCLA Fielding School of Public Health is accredited by the Council on Education for Public Health (CEPH).,Bachelor of Science in Public Health,https://phup.healthsciences.ucla.edu/programs/,Bachelor of Science,,
"Buddhism, Christianity, Hinduism, Islam, Judaism, Religion in America, Religion in the Ancient Near East, or a thematic field (e.g., religion and gender, religion and science, religion and society)","The Study of Religion major is an interdisciplinary program that offers students the opportunity to study religion from a variety of perspectives—historical, sociological, anthropological, psychological, and philosophical. It provides students with the tools to analyze the role of religion in human history and culture and to understand the diverse ways in which people have conceptualized and practiced religion. The program covers a wide range of religious traditions, including those of the ancient Mediterranean, the Middle East, South and East Asia, and the Americas.",https://religion.ucla.edu/undergraduate/the-major/,,"Bachelor of Arts in Religion, Study of","The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
"Russian language; Russian literature, culture, and film",The Russian Language and Literature major provides students with a strong foundation in the Russian language and a broad understanding of Russian literature and culture. Students can choose to emphasize either language or literature/culture.,https://slavic.ucla.edu/undergraduate/majors-minors/russian-language-literature-major/,,Bachelor of Arts in Russian Language and Literature,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Russian Studies major is designed for students who want to develop a broad knowledge of Russian culture and society through an interdisciplinary program of study. Students take courses in Russian language, literature, and culture, and may also choose from a wide range of courses in other departments, including history, political science, and sociology. The major provides a solid foundation for careers in government, international business, and law, as well as for graduate study in a variety of fields.",https://slavic.ucla.edu/undergraduate/russian-studies-major/,,Bachelor of Arts in Russian Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",BA,,
Specialization in Computing,"Sociology is the study of social life, social change, and the social causes and consequences of human behavior. Sociologists investigate the structure of groups, organizations, and societies, and how people interact within these contexts. Since all human behavior is social, the subject matter of sociology ranges from the intimate family to the hostile mob; from organized crime to religious cults; from the divisions of race, gender and social class to the shared beliefs of a common culture; and from the sociology of work to the sociology of sports. In fact, few fields have such broad scope and relevance for research, theory, and application of knowledge.",https://soc.ucla.edu/undergraduate-program/the-major/,,Bachelor of Arts in Sociology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
"Filipino, Indonesian, Thai, and Vietnamese","The Southeast Asian Studies major is an interdisciplinary program that provides a broad overview of the cultures, histories, languages, and societies of Southeast Asia. Students learn to analyze the region from multiple perspectives, including anthropology, art history, ethnomusicology, geography, history, linguistics, political science, and sociology.",https://catalog.registrar.ucla.edu/major/2024/SoutheastAsianStudiesBA,,Bachelor of Arts in Southeast Asian Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
Spanish and Community and Culture,"The major in Spanish and Community and Culture is designed to allow students to focus their studies of the Spanish-speaking world through the lenses of the social sciences and community-based service learning. The major provides students with the linguistic and cultural competencies to work with Spanish-speaking communities in the US and abroad. It is particularly well suited for students who are interested in pursuing careers in areas such as public health, social work, law, education, and community organizing.",https://www.spanport.ucla.edu/undergraduate/our-program/spanish-community-and-culture/,,Bachelor of Arts in Spanish,https://www.spanport.ucla.edu/undergraduate/our-program/spanish-community-and-culture/,,,
,"The Spanish and Community and Culture major is designed to provide students with a multifaceted approach to the study of the Spanish-speaking world and of the Latinx community in the US. The major is interdisciplinary in nature and includes courses in the fields of literature, culture, linguistics, and the social sciences. To bridge the gap between UCLA and the community, students are required to take at least one experiential learning course in which they engage with members of the Latinx community outside the classroom.",https://catalog.registrar.ucla.edu/major/2023/spanishandcommunityandcultureba?siteYear=2023,,Bachelor of Arts in Spanish and Community and Culture,https://catalog.registrar.ucla.edu/major/2023/spanishandcommunityandcultureba?siteYear=2023,,,
,The major in Spanish and Linguistics is designed for students with an interest in the Spanish language who wish to gain expertise in its history and linguistic structure. It is also suitable for students with a background in Spanish who wish to gain a deeper understanding of linguistic theory and its application to the study of the Spanish language. The major provides a strong foundation for students who wish to pursue graduate study in Spanish linguistics or linguistics in general.,https://spanport.ucla.edu/undergraduate/majors-minors/spanish-and-linguistics-major/,,Bachelor of Arts in Spanish and Linguistics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Spanish and Portuguese major is a liberal arts major that is designed to provide students with a solid foundation in the languages, literatures, and cultures of the Spanish- and Portuguese-speaking worlds. Students who complete the major should be able to demonstrate (1) proficiency in Spanish and Portuguese at the level of advanced-mid according to the ACTFL (American Council on the Teaching of Foreign Languages) scale, (2) the ability to analyze and interpret a wide range of texts and other cultural productions from the Spanish- and Portuguese-speaking worlds, (3) knowledge of the historical and cultural contexts in which these texts and productions were created, and (4) the ability to conduct research and write effectively in Spanish and Portuguese.",https://spanport.ucla.edu/undergraduate/majors-minors/spanish-portuguese-major/,,Bachelor of Arts in Spanish and Portuguese,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Statistics and Data Science major is designed to provide students with an understanding of the concepts and methods of statistics and data science. It provides students with a solid foundation in the mathematical and computational principles that underlie these fields. Students learn to use statistical software to analyze data and to communicate their findings effectively. The major prepares students for careers in a variety of fields, including business, government, and academia, as well as for graduate study in statistics, data science, and related fields.",https://catalog.registrar.ucla.edu/ucla-catalog24-25/departments-and-programs/statistics-and-data-science/statistics-and-data-science-bs/,,Bachelor of Science in Statistics and Data Science,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
"Acting, Design and Production, Integrated Studies, or Musical Theater","The Theater major is a comprehensive liberal arts program that provides a broad-based education in theater history, theory, and practice. The curriculum is designed to give students a strong foundation in the humanities while providing rigorous training in the various disciplines of theater. Students take a core of required courses and then select a sequence of study in acting, design and production, integrated studies, or musical theater.",https://www.tft.ucla.edu/undergraduate-theater/,"UCLA is accredited by the WASC Senior College and University Commission (WSCUC). The UCLA School of Theater, Film and Television is an accredited institutional member of the National Association of Schools of Theatre (NAST).",Bachelor of Arts in Theater,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
"Arts Activism, Culture and Health","The World Arts and Cultures (WAC) major is a premier program for students interested in the interdisciplinary study of the arts and their role in society. The curriculum is based on the premise that the arts are central to human experience and that they are best understood through a variety of perspectives, including anthropology, cultural studies, and performance studies. The WAC major provides students with the tools to analyze the arts as cultural practices and to develop their own creative and critical voices.",https://www.wacd.ucla.edu/programs/undergraduate/wac,,Bachelor of Arts in World Arts and Cultures,https://www.wacd.ucla.edu/programs/undergraduate/wac,,,
,"The Accounting minor is designed to provide students with a strong foundation in accounting theory and practice. The minor is intended to prepare students for careers in public or private accounting, and for graduate study in accounting, business, or law.",https://www.anderson.ucla.edu/degrees/accounting-minor,,Minor in Accounting,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The African American Studies minor is designed for students who wish to augment their major program of study with a concentration in African American studies. The minor provides a systematic introduction to the field and allows students to explore the history, culture, and social life of people of African descent in the United States and the diaspora.",https://afam.ucla.edu/undergraduate/minor/,,Minor in African American Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",Minor,,
,"The African and Middle Eastern Studies minor is designed for students who wish to augment their major with a program of courses that provides an understanding of the history, politics, and culture of Africa and/or the Middle East. It is a multi- and interdisciplinary program that includes courses in the humanities, social sciences, and the arts.",https://www.international.ucla.edu/institute/academic/ames,,Minor in African and Middle Eastern Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",Minor,,
,The African Studies minor is designed for students who want to gain an understanding of the African continent and its people. The minor provides a multi-disciplinary approach to the study of Africa and is intended to complement a student’s major field of study.,https://catalog.ucla.edu/programs/minor/african-studies-minor/,,Minor in African Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The American Indian Studies minor is designed for students who wish to augment their major program of study with a concentration in American Indian studies. It is also for students who wish to learn about the history, culture, and contemporary situation of American Indians but do not have the time to complete the major. The minor program is designed to provide students with a basic understanding of American Indian issues, as well as a more in-depth look at one or more specific topics.",https://aisp.ucla.edu/undergraduate/minor/,,Minor in American Indian Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
"ancient Near East, Egyptology, or a combination of both","The Ancient Near East and Egyptology minor is designed for students who wish to augment their major program of study with an overview of the history, literature, and culture of the ancient Near East and Egypt. The minor includes three options: ancient Near East, Egyptology, or a combination of both.",https://registrar.ucla.edu/academics/curricula-and-courses/ancient-near-east-and-egyptology-minor,,Minor in Ancient Near East and Egyptology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Anthropology minor is designed for students who wish to augment their major program of study with a series of courses that analyze the biological and cultural development of humankind. Students may choose to take courses in any of the four subfields of anthropology (archaeology, biological anthropology, linguistic anthropology, and sociocultural anthropology) or they may choose to focus their studies in one or two of these areas.",https://anthropology.ucla.edu/undergraduate/minors/,,Minor in Anthropology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The UCLA Applied Developmental Psychology (ADP) Minor is a program designed to provide students with a strong background in the study of child development and its application to educational and community settings. The program consists of a sequence of courses and a year-long internship in a community-based setting, such as a preschool, school, or community organization. The ADP Minor provides students with the opportunity to integrate developmental theory and research with practical experience in working with children and families. The program is designed to prepare students for careers in fields such as education, psychology, social work, and public policy, as well as for graduate study in developmental psychology and related fields.",https://www.psych.ucla.edu/undergraduate/academic-programs/applied-developmental-psychology-minor/,,Minor in Applied Developmental Psychology,https://www.psych.ucla.edu/employment-opps/postdoctoral-scholar-exp-01-15-26/,,,
,The Arabic and Islamic Studies minor is designed for students who wish to augment their major program of study with a group of courses that provide a systematic introduction to the study of Arabic and Islamic culture and literature and provide a basic knowledge of Arabic language.,https://catalog.registrar.ucla.edu/minor/2024/arabicandislamicstudiesminor,,Minor in Arabic and Islamic Studies,https://catalog.registrar.ucla.edu/search?parentAcademicOrg=7e561ea0db6fa0107f1572f5f39619b1&ct=minor,Minor,,
,"The Armenian Studies minor is designed for students who wish to augment their major program of study with a group of courses that provide a systematic introduction to Armenian language, literature, and culture.",https://catalog.registrar.ucla.edu/minor/2024/ArmenianStudiesMinor,,Minor in Armenian Studies,https://catalog.registrar.ucla.edu/browse/College%20and%20Schools/CollegeofLettersandScience,,,
,"The minor in Art History is designed for students who wish to augment their major program of study with a series of courses that promote visual literacy and prepare them for a world in which images and the built environment are increasingly significant. The minor allows students to study the history of art from various cultures and periods, and to gain an understanding of the historical, social, and political contexts in which art is produced.",https://arthistory.ucla.edu/undergraduate/minor/,,Minor in Art History,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,The Asian American Studies minor is designed for students who wish to augment their major program of study with an integrated curriculum in Asian American studies. The minor provides students with a broad-based understanding of the diverse experiences of Asian Americans and Pacific Islanders in the United States.,https://asianam.ucla.edu/undergraduate/minor/,,Minor in Asian American Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Asian Humanities minor provides students with the opportunity to explore the cultures and civilizations of Asia in a comparative and interdisciplinary way. Students can study the literatures, religions, philosophies, and visual cultures of Asia from the pre-modern to the modern period.",https://www.alc.ucla.edu/undergraduate/minors/asian-humanities/,,Minor in Asian Humanities,https://www.alc.ucla.edu/wp-content/uploads/2024/10/ASIAN-HUMANITIES-MAJOR-21-22.pdf,,,
,"The Asian Languages minor is designed for students who wish to focus on one of the languages offered by the department (Chinese, Japanese, Korean, Filipino, Hindi, Indonesian, Thai, or Vietnamese) while pursuing a major in another field. The minor provides students with a high level of proficiency in an Asian language and a broad knowledge of the literature and culture of that language area.",https://alc.ucla.edu/undergraduate/minors/asian-languages-minor/,,Minor in Asian Languages,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",Minor,,
,"The Atmospheric and Oceanic Sciences minor provides a formal vehicle for students specializing in other majors to pursue an interest in atmospheric and oceanic sciences. It is designed to be flexible and can be tailored to several different areas of student interest, including atmospheric chemical and physical processes, air quality, air-sea interactions, climate change, and various aspects of the planetary environment.",https://catalog.registrar.ucla.edu/minor/2024/AtmosphericandOceanicSciencesMinor,,Minor in Atmospheric and Oceanic Sciences,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Biomedical Research Minor is a unique, interdisciplinary minor for undergraduates who are interested in pursuing a career in research. The minor provides students with the opportunity to conduct research in a laboratory under the direction of a faculty member and to present their research at various venues. Students in the minor take a series of courses designed to develop their skills in experimental design, data analysis, and scientific communication.",https://biomedicalresearchminor.ucla.edu/,,Minor in Biomedical Research,https://www.mcdb.ucla.edu/wp-content/uploads/sites/192/2021/07/BMD-RES-Info-Graphic-2021.pdf,,,
,"The Brain and Behavioral Health (BBH) minor is an interdisciplinary minor designed to examine brain health and function through the lifespan. Coursework provides students with a foundational knowledge of the brain, its development, and how it is impacted by various physical and mental health conditions. In addition, students will learn about the current therapeutic interventions for neurological and psychological disorders.",https://www.mcdb.ucla.edu/undergraduate/minors/brain-and-behavioral-health-minor/,,Minor in Brain and Behavioral Health,https://www.mcdb.ucla.edu/wp-content/uploads/sites/192/2024/07/MCDB-New-Student-Orientation-Packet-2024.pdf,,,
,"The Central American Studies minor is designed for students who wish to augment their major program of study with a concentration on the history, culture, and society of Central Americans. It is also designed for students who wish to pursue a career in the public or private sector and who have a specific interest in Central American communities in the U.S. and Central America. Learning outcomes for the minor include demonstrated knowledge of the social, political, and cultural history of the Central American region; demonstrated knowledge of the diverse Central American populations in the U.S.; and analysis of the Central American region and its people using a variety of disciplinary and/or interdisciplinary perspectives.",https://chicano.ucla.edu/academics/minors/central-american-studies,,Minor in Central American Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Chicana and Chicano Studies minor is designed for students who wish to augment their major program of study with a concentration on the Chicana/o experience. The minor provides students with the opportunity to explore the multidisciplinary field of Chicana and Chicano studies through a range of courses in the humanities, social sciences, and the arts. Students learn to critically examine the experiences of Chicana/os and Latina/os in the United States, as well as their historical and contemporary relationship to the Americas and the world.",https://registrar.ucla.edu/academics/curricula-and-courses/chicana-and-chicano-studies/chicana-and-chicano-studies-minor,,Minor in Chicana and Chicano Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Chinese minor is designed for students who wish to augment their major program of study with a group of courses that provide a systematic introduction to Chinese language, culture, and society. Students may choose to focus on language, literature, or a combination of both.",https://alc.ucla.edu/undergraduate/chinese/chinese-minor/,,Minor in Chinese,https://www.ed.gov/media/document/p016a090069pdf-65675.pdf,,,
,"The Classical Civilization minor is designed for students who wish to explore the culture of the ancient Mediterranean from a variety of perspectives, including literature, history, philosophy, art, and archaeology. It allows students to focus on the Greco-Roman world and its legacy without a requirement for study of the ancient languages.",https://classics.ucla.edu/undergraduate/minors/classical-civilization-minor/,,Minor in Classical Civilization,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Cognitive Science minor is designed to provide students with an understanding of the intersection between various disciplines such as psychology, linguistics, philosophy, computer science, and neuroscience. Students study how information is processed and represented in both biological and artificial systems. The minor is interdisciplinary, involving the departments of Psychology, Linguistics, Philosophy, and Computer Science, and explores the nature of knowledge, its representation, and its use by both biological and artificial systems.",https://www.psych.ucla.edu/undergraduate/academic-programs/cognitive-science-minor/,,Minor in Cognitive Science,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"Comparative Literature is the study of literature across national, cultural and linguistic boundaries. It is an ideal minor for students who are interested in literature and who want to pursue their interests beyond the boundaries of a single national literature. The minor in Comparative Literature provides students with the opportunity to study a wide range of literatures in their original languages and in translation. Students are encouraged to develop their own programs of study, selecting courses from the department’s offerings in literature, film, and theory.",https://complit.ucla.edu/undergraduate/minor/,,Minor in Comparative Literature,https://complit.ucla.edu/wp-content/uploads/2020/10/COMP-LIT-Minor-Requirements.pdf,,,
,"The Conservation Biology minor is designed for students who wish to augment their major program of study with courses addressing issues central to the conservation and management of biological diversity. The curriculum provides a background in biodiversity patterns and processes, and the ecological and evolutionary principles that are relevant to conservation. Students also have the opportunity to take courses in social and economic aspects of conservation. The minor is also designed to provide students with a better understanding of the impact of human activity on the environment and how that impact can be mitigated.",https://eeb.ucla.edu/undergraduates/minors/conservation-biology/,,Minor in Conservation Biology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
,"The Creative Writing Minor is open to all students at UCLA. The English Department offers workshops in Poetry, Short Story, and Novel writing, as well as occasional workshops in specialized topics such as Autobiography and Short-Short Stories. Most of these workshops are for 15 students only, and admission is by instructor's consent. This gives students the opportunity to work closely with our distinguished Creative Writing faculty: poets, novelists, and short-story writers who have won such prestigious awards as the National Book Award, the Pulitzer Prize, and the Guggenheim Fellowship. To supplement the workshop experience, the English Department also offers several annual reading series, featuring well-known authors and students reading from their own work. The minor is designed for students who wish to focus on writing poetry or short stories, or both. To enter the minor, students must have completed English 4W, 4HW, or 4X (or an equivalent) with a grade of B or better and must submit a portfolio of their work (poetry and/or short stories) for departmental approval.",https://english.ucla.edu/undergraduate/creative-writing-minor/,,Minor in Creative Writing,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu).",,,
