Program name,Program Page url,Concentration name,description,program website url,Accreditation status,error,Level
Public Relations Minor,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Reading Minor,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Religious Studies Minor,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Robotics and Automation Minor,https://www.ucmo.edu/academics/programs/minors/index.php,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Safety Minor,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
School Library Minor,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Secondary Education Minor,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Social Gerontology Minor,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Sociology Minor,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Spanish Minor,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Special Education Minor,https://www.ucmo.edu/college-of-education/department-of-career-and-technical-education/special-education/,,,https://www.ucmo.edu/college-of-education/department-of-career-and-technical-education/special-education/,,,
Speech Communication Minor,The official university website for the University of Central Missouri is ucmo.edu.,,"Expand your capabilities as a high school teacher when you choose a minor that helps you learn to teach other subjects. If you enjoy the performing arts or want to help students strengthen their communication skills, consider the University of Central Missouri's interdisciplinary Speech Communication and Theatre for BSE minor. It's a great fit with the many Bachelor of Science in Secondary Education degrees offered at UCM, including English, Mathematics and Social Studies. [3] In the Speech Communication and Theatre program at UCM, you'll get a time-tested education from decades of experience. [3] We continue to evolve our practices to meet the needs of future educators. [3] All of our classes are available on our Warrensburg campus for the traditional college experience, but you may also choose to take some classes online for flexible options in completing your minor along with your bachelor's degree. [3] The result is expanded knowledge and skills that enhance your value to high school administrators. [3] You'll study acting, directing and stagecraft, as well as communication theory and speech and debate, so you'll know how to teach your future students all these aspects. [3]",https://www.ucmo.edu/academics/programs/minors/speech-communication-and-theatre-minor-for-bse/index.html,NAST-accredited theatre courses. [3],,Minor for a Bachelor of Science in Education. [3]
Sport Management Minor,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Statistics Minor,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Studio Art Minor,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Teaching English as a Second Language Minor,The official university website for the University of Central Missouri is ucmo.edu.,,,,,,
Technical Writing Minor,The official university website for the University of Central Missouri is ucmo.edu.,,"Technical writing is one of the most valuable skills on the job market today. This minor can equip you with specialized knowledge to master the most essential forms of business communication and help fuel success in any industry. The University of Central Missouri's Technical Writing minor can equip you with skills you need to handle a variety of communication and writing tasks in any job. This can include things as routine as resumes and memos to projects as complex as in-depth technical analyses and data reporting. These communication and analysis tools are valuable in virtually every industry, since every workplace needs someone they can count on to articulate information clearly on behalf of clients, colleagues and others.",https://www.ucmo.edu/academics/programs/minors/technical-writing-minor/index.html,,,Minor
Theatre Minor,The official university website for the University of Central Missouri is ucmo.edu.,,"The Theatre minor at the University of Central Missouri will diversify your skill set and enhance your major area of study. Whether you're interested in learning what the performing arts can do to improve your professional skills or you simply want to polish your acting and production abilities, the Theatre minor is a great choice for you. UCM's Theatre minor program curriculum offers conservatory-based training in a liberal arts environment. Our program, however, goes beyond acting studies and includes classes with experienced faculty in stagecraft, sound and lighting design and theatre production. [3]",https://www.ucmo.edu/academics/programs/undergraduate-minors/theatre-minor/index.html,"The University of Central Missouri's Theatre program is accredited by the National Association of Schools of Theatre (NAST). [2, 4]",,Minor
Unmanned Aircraft Systems (Drones) Minor,https://www.ucmo.edu/news/university-news/posts/2019-08-26-ucm-lees-summit-school-district-partner-to-launch-avionics-program.php,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
Web and Mobile Development Minor,The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
"Women, Gender, and Sexuality Studies Minor",The official university website for the University of Central Missouri is ucmo.edu.,,,,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}",
